Neighbourhood,Neighbourhood Number,Question Type,Characteristic,Year,Value,Ward
Hays Ridge Area,5465,Census families in private households,Total couple families,2021,175,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Married couples,2021,165,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Married couples with children,2021,95,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Married couples without children,2021,75,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Common-law couples,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Common-law couples with children,2021,5,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Common-law couples without children,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,Total one-parent families,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,One-parent families in which the parent is a woman+,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Census families in private households,One-parent families in which the parent is a man+,2021,0,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Married spouses or common-law partners,2021,355,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Parents in one-parent families,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Children,2021,195,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Children in a two-parent family,2021,180,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Children in a one-parent family,2021,20,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Persons not in census families,2021,35,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Persons not in census families - Living alone,2021,15,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Persons not in census families - Living with other relatives,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Persons in private households,Persons not in census families - Living with non-relatives only,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,One-census-family households without additional persons,2021,165,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Couple-family households,2021,160,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Couple-family households with children,2021,90,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Couple-family households without children,2021,75,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,One-parent-family households,2021,10,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Multigenerational households,2021,5,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Multiple-census-family households,2021,0,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,One-census-family households with additional persons,2021,5,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,Two-or-more-person non-census-family households,2021,5,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Household type,One-person households,2021,15,Ipiihkoohkanipiaohtsi Ward
Hazeldean,6290,Household size,1 person,2021,405,papastew Ward
Hazeldean,6290,Household size,2 persons,2021,495,papastew Ward
Hazeldean,6290,Household size,3 persons,2021,230,papastew Ward
Hazeldean,6290,Household size,4 persons,2021,155,papastew Ward
Hazeldean,6290,Household size,5 or more persons,2021,65,papastew Ward
Hazeldean,6290,Household size,Average household size,2021,2,papastew Ward
Hazeldean,6290,Number of persons in private households,Number of persons in private households,2021,3055,papastew Ward
Hazeldean,6290,Marital status,Married or living common-law,2021,1415,papastew Ward
Hazeldean,6290,Marital status,Married,2021,1030,papastew Ward
Hazeldean,6290,Marital status,Living common-law,2021,380,papastew Ward
Hazeldean,6290,Marital status,Living common law - Never married,2021,300,papastew Ward
Hazeldean,6290,Marital status,Living common law - Separated,2021,15,papastew Ward
Hazeldean,6290,Marital status,Living common law - Divorced,2021,70,papastew Ward
Hazeldean,6290,Marital status,Living common law - Widowed,2021,5,papastew Ward
Hazeldean,6290,Marital status,Not married and not living common-law,2021,1360,papastew Ward
Hazeldean,6290,Marital status,Not married and not living common law - Never married,2021,840,papastew Ward
Hazeldean,6290,Marital status,Not married and not living common law - Separated,2021,75,papastew Ward
Hazeldean,6290,Marital status,Not married and not living common law - Divorced,2021,215,papastew Ward
Hazeldean,6290,Marital status,Not married and not living common law - Widowed,2021,225,papastew Ward
Hazeldean,6290,Family size,2 persons,2021,500,papastew Ward
Hazeldean,6290,Family size,3 persons,2021,180,papastew Ward
Hazeldean,6290,Family size,4 persons,2021,145,papastew Ward
Hazeldean,6290,Family size,5 or more persons,2021,45,papastew Ward
Hazeldean,6290,Family size,Average size of census families,2021,3,papastew Ward
Hazeldean,6290,Family size,Average number of children in census families with children,2021,2,papastew Ward
Hazeldean,6290,Census families in private households,Total couple families,2021,675,papastew Ward
Hazeldean,6290,Census families in private households,Married couples,2021,485,papastew Ward
Hazeldean,6290,Census families in private households,Married couples with children,2021,245,papastew Ward
Hazeldean,6290,Census families in private households,Married couples without children,2021,240,papastew Ward
Hazeldean,6290,Census families in private households,Common-law couples,2021,195,papastew Ward
Hazeldean,6290,Census families in private households,Common-law couples with children,2021,50,papastew Ward
Hazeldean,6290,Census families in private households,Common-law couples without children,2021,145,papastew Ward
Hazeldean,6290,Census families in private households,Total one-parent families,2021,185,papastew Ward
Hazeldean,6290,Census families in private households,One-parent families in which the parent is a woman+,2021,135,papastew Ward
Hazeldean,6290,Census families in private households,One-parent families in which the parent is a man+,2021,55,papastew Ward
Hazeldean,6290,Persons in private households,Married spouses or common-law partners,2021,1350,papastew Ward
Hazeldean,6290,Persons in private households,Parents in one-parent families,2021,185,papastew Ward
Hazeldean,6290,Persons in private households,Children,2021,780,papastew Ward
Hazeldean,6290,Persons in private households,Children in a two-parent family,2021,500,papastew Ward
Hazeldean,6290,Persons in private households,Children in a one-parent family,2021,280,papastew Ward
Hazeldean,6290,Persons in private households,Persons not in census families,2021,740,papastew Ward
Hazeldean,6290,Persons in private households,Persons not in census families - Living alone,2021,405,papastew Ward
Hazeldean,6290,Persons in private households,Persons not in census families - Living with other relatives,2021,85,papastew Ward
Hazeldean,6290,Persons in private households,Persons not in census families - Living with non-relatives only,2021,245,papastew Ward
Hazeldean,6290,Household type,One-census-family households without additional persons,2021,750,papastew Ward
Hazeldean,6290,Household type,Couple-family households,2021,600,papastew Ward
Hazeldean,6290,Household type,Couple-family households with children,2021,270,papastew Ward
Hazeldean,6290,Household type,Couple-family households without children,2021,330,papastew Ward
Hazeldean,6290,Household type,One-parent-family households,2021,145,papastew Ward
Hazeldean,6290,Household type,Multigenerational households,2021,20,papastew Ward
Hazeldean,6290,Household type,Multiple-census-family households,2021,10,papastew Ward
Hazeldean,6290,Household type,One-census-family households with additional persons,2021,75,papastew Ward
Hazeldean,6290,Household type,Two-or-more-person non-census-family households,2021,95,papastew Ward
Hazeldean,6290,Household type,One-person households,2021,410,papastew Ward
Henderson Estates,5230,Household size,1 person,2021,65,pihêsiwin Ward
Henderson Estates,5230,Household size,2 persons,2021,250,pihêsiwin Ward
Henderson Estates,5230,Household size,3 persons,2021,95,pihêsiwin Ward
Henderson Estates,5230,Household size,4 persons,2021,125,pihêsiwin Ward
Henderson Estates,5230,Household size,5 or more persons,2021,65,pihêsiwin Ward
Henderson Estates,5230,Household size,Average household size,2021,3,pihêsiwin Ward
Henderson Estates,5230,Number of persons in private households,Number of persons in private households,2021,1735,pihêsiwin Ward
Henderson Estates,5230,Marital status,Married or living common-law,2021,1040,pihêsiwin Ward
Henderson Estates,5230,Marital status,Married,2021,985,pihêsiwin Ward
Henderson Estates,5230,Marital status,Living common-law,2021,55,pihêsiwin Ward
Henderson Estates,5230,Marital status,Living common law - Never married,2021,35,pihêsiwin Ward
Henderson Estates,5230,Marital status,Living common law - Separated,2021,0,pihêsiwin Ward
Henderson Estates,5230,Marital status,Living common law - Divorced,2021,15,pihêsiwin Ward
Henderson Estates,5230,Marital status,Living common law - Widowed,2021,5,pihêsiwin Ward
Henderson Estates,5230,Marital status,Not married and not living common-law,2021,475,pihêsiwin Ward
Henderson Estates,5230,Marital status,Not married and not living common law - Never married,2021,370,pihêsiwin Ward
Henderson Estates,5230,Marital status,Not married and not living common law - Separated,2021,5,pihêsiwin Ward
Henderson Estates,5230,Marital status,Not married and not living common law - Divorced,2021,50,pihêsiwin Ward
Henderson Estates,5230,Marital status,Not married and not living common law - Widowed,2021,50,pihêsiwin Ward
Henderson Estates,5230,Family size,2 persons,2021,275,pihêsiwin Ward
Henderson Estates,5230,Family size,3 persons,2021,100,pihêsiwin Ward
Henderson Estates,5230,Family size,4 persons,2021,125,pihêsiwin Ward
Henderson Estates,5230,Family size,5 or more persons,2021,55,pihêsiwin Ward
Henderson Estates,5230,Family size,Average size of census families,2021,3,pihêsiwin Ward
Henderson Estates,5230,Family size,Average number of children in census families with children,2021,2,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Total couple families,2021,510,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Married couples,2021,485,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Married couples with children,2021,250,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Married couples without children,2021,235,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Common-law couples,2021,25,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Common-law couples with children,2021,10,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Common-law couples without children,2021,20,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,Total one-parent families,2021,35,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,One-parent families in which the parent is a woman+,2021,25,pihêsiwin Ward
Henderson Estates,5230,Census families in private households,One-parent families in which the parent is a man+,2021,10,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Married spouses or common-law partners,2021,1030,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Parents in one-parent families,2021,35,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Children,2021,555,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Children in a two-parent family,2021,500,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Children in a one-parent family,2021,55,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Persons not in census families,2021,120,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Persons not in census families - Living alone,2021,65,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Persons not in census families - Living with other relatives,2021,30,pihêsiwin Ward
Henderson Estates,5230,Persons in private households,Persons not in census families - Living with non-relatives only,2021,25,pihêsiwin Ward
Henderson Estates,5230,Household type,One-census-family households without additional persons,2021,490,pihêsiwin Ward
Henderson Estates,5230,Household type,Couple-family households,2021,465,pihêsiwin Ward
Henderson Estates,5230,Household type,Couple-family households with children,2021,235,pihêsiwin Ward
Henderson Estates,5230,Household type,Couple-family households without children,2021,225,pihêsiwin Ward
Henderson Estates,5230,Household type,One-parent-family households,2021,25,pihêsiwin Ward
Henderson Estates,5230,Household type,Multigenerational households,2021,20,pihêsiwin Ward
Henderson Estates,5230,Household type,Multiple-census-family households,2021,10,pihêsiwin Ward
Henderson Estates,5230,Household type,One-census-family households with additional persons,2021,20,pihêsiwin Ward
Henderson Estates,5230,Household type,Two-or-more-person non-census-family households,2021,10,pihêsiwin Ward
Henderson Estates,5230,Household type,One-person households,2021,65,pihêsiwin Ward
Heritage Valley Town Centre,5464,Household size,1 person,2021,245,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household size,2 persons,2021,215,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household size,3 persons,2021,85,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household size,4 persons,2021,55,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household size,5 or more persons,2021,10,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household size,Average household size,2021,2,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Number of persons in private households,Number of persons in private households,2021,1210,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Married or living common-law,2021,510,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Married,2021,365,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Living common-law,2021,140,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Living common law - Never married,2021,125,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Living common law - Separated,2021,5,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Living common law - Divorced,2021,10,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Living common law - Widowed,2021,0,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Not married and not living common-law,2021,480,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Not married and not living common law - Never married,2021,345,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Not married and not living common law - Separated,2021,50,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Not married and not living common law - Divorced,2021,70,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Marital status,Not married and not living common law - Widowed,2021,20,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,2 persons,2021,175,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,3 persons,2021,85,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,4 persons,2021,50,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,5 or more persons,2021,10,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,Average size of census families,2021,3,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Family size,Average number of children in census families with children,2021,2,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Total couple families,2021,245,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Married couples,2021,175,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Married couples with children,2021,110,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Married couples without children,2021,65,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Common-law couples,2021,70,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Common-law couples with children,2021,15,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Common-law couples without children,2021,60,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,Total one-parent families,2021,70,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,One-parent families in which the parent is a woman+,2021,60,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Census families in private households,One-parent families in which the parent is a man+,2021,5,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Married spouses or common-law partners,2021,495,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Parents in one-parent families,2021,75,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Children,2021,280,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Children in a two-parent family,2021,190,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Children in a one-parent family,2021,90,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Persons not in census families,2021,370,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Persons not in census families - Living alone,2021,250,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Persons not in census families - Living with other relatives,2021,45,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Persons in private households,Persons not in census families - Living with non-relatives only,2021,85,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,One-census-family households without additional persons,2021,305,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Couple-family households,2021,235,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Couple-family households with children,2021,115,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Couple-family households without children,2021,120,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,One-parent-family households,2021,65,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Multigenerational households,2021,0,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Multiple-census-family households,2021,0,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,One-census-family households with additional persons,2021,10,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,Two-or-more-person non-census-family households,2021,50,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Household type,One-person households,2021,245,Ipiihkoohkanipiaohtsi Ward
High Park,4200,Household size,1 person,2021,180,Nakota Isga Ward
High Park,4200,Household size,2 persons,2021,225,Nakota Isga Ward
High Park,4200,Household size,3 persons,2021,95,Nakota Isga Ward
High Park,4200,Household size,4 persons,2021,80,Nakota Isga Ward
High Park,4200,Household size,5 or more persons,2021,50,Nakota Isga Ward
High Park,4200,Household size,Average household size,2021,2,Nakota Isga Ward
High Park,4200,Number of persons in private households,Number of persons in private households,2021,1530,Nakota Isga Ward
High Park,4200,Marital status,Married or living common-law,2021,695,Nakota Isga Ward
High Park,4200,Marital status,Married,2021,550,Nakota Isga Ward
High Park,4200,Marital status,Living common-law,2021,145,Nakota Isga Ward
High Park,4200,Marital status,Living common law - Never married,2021,120,Nakota Isga Ward
High Park,4200,Marital status,Living common law - Separated,2021,5,Nakota Isga Ward
High Park,4200,Marital status,Living common law - Divorced,2021,20,Nakota Isga Ward
High Park,4200,Marital status,Living common law - Widowed,2021,0,Nakota Isga Ward
High Park,4200,Marital status,Not married and not living common-law,2021,645,Nakota Isga Ward
High Park,4200,Marital status,Not married and not living common law - Never married,2021,400,Nakota Isga Ward
High Park,4200,Marital status,Not married and not living common law - Separated,2021,45,Nakota Isga Ward
High Park,4200,Marital status,Not married and not living common law - Divorced,2021,120,Nakota Isga Ward
High Park,4200,Marital status,Not married and not living common law - Widowed,2021,80,Nakota Isga Ward
High Park,4200,Family size,2 persons,2021,255,Nakota Isga Ward
High Park,4200,Family size,3 persons,2021,80,Nakota Isga Ward
High Park,4200,Family size,4 persons,2021,70,Nakota Isga Ward
High Park,4200,Family size,5 or more persons,2021,20,Nakota Isga Ward
High Park,4200,Family size,Average size of census families,2021,3,Nakota Isga Ward
High Park,4200,Family size,Average number of children in census families with children,2021,2,Nakota Isga Ward
High Park,4200,Census families in private households,Total couple families,2021,340,Nakota Isga Ward
High Park,4200,Census families in private households,Married couples,2021,265,Nakota Isga Ward
High Park,4200,Census families in private households,Married couples with children,2021,120,Nakota Isga Ward
High Park,4200,Census families in private households,Married couples without children,2021,145,Nakota Isga Ward
High Park,4200,Census families in private households,Common-law couples,2021,70,Nakota Isga Ward
High Park,4200,Census families in private households,Common-law couples with children,2021,15,Nakota Isga Ward
High Park,4200,Census families in private households,Common-law couples without children,2021,55,Nakota Isga Ward
High Park,4200,Census families in private households,Total one-parent families,2021,90,Nakota Isga Ward
High Park,4200,Census families in private households,One-parent families in which the parent is a woman+,2021,70,Nakota Isga Ward
High Park,4200,Census families in private households,One-parent families in which the parent is a man+,2021,20,Nakota Isga Ward
High Park,4200,Persons in private households,Married spouses or common-law partners,2021,675,Nakota Isga Ward
High Park,4200,Persons in private households,Parents in one-parent families,2021,90,Nakota Isga Ward
High Park,4200,Persons in private households,Children,2021,405,Nakota Isga Ward
High Park,4200,Persons in private households,Children in a two-parent family,2021,265,Nakota Isga Ward
High Park,4200,Persons in private households,Children in a one-parent family,2021,135,Nakota Isga Ward
High Park,4200,Persons in private households,Persons not in census families,2021,360,Nakota Isga Ward
High Park,4200,Persons in private households,Persons not in census families - Living alone,2021,185,Nakota Isga Ward
High Park,4200,Persons in private households,Persons not in census families - Living with other relatives,2021,65,Nakota Isga Ward
High Park,4200,Persons in private households,Persons not in census families - Living with non-relatives only,2021,110,Nakota Isga Ward
High Park,4200,Household type,One-census-family households without additional persons,2021,320,Nakota Isga Ward
High Park,4200,Household type,Couple-family households,2021,265,Nakota Isga Ward
High Park,4200,Household type,Couple-family households with children,2021,110,Nakota Isga Ward
High Park,4200,Household type,Couple-family households without children,2021,155,Nakota Isga Ward
High Park,4200,Household type,One-parent-family households,2021,55,Nakota Isga Ward
High Park,4200,Household type,Multigenerational households,2021,15,Nakota Isga Ward
High Park,4200,Household type,Multiple-census-family households,2021,15,Nakota Isga Ward
High Park,4200,Household type,One-census-family households with additional persons,2021,55,Nakota Isga Ward
High Park,4200,Household type,Two-or-more-person non-census-family households,2021,40,Nakota Isga Ward
High Park,4200,Household type,One-person households,2021,185,Nakota Isga Ward
Highlands,2330,Household size,1 person,2021,410,Métis Ward
Highlands,2330,Household size,2 persons,2021,455,Métis Ward
Highlands,2330,Household size,3 persons,2021,180,Métis Ward
Highlands,2330,Household size,4 persons,2021,125,Métis Ward
Highlands,2330,Household size,5 or more persons,2021,55,Métis Ward
Highlands,2330,Household size,Average household size,2021,2,Métis Ward
Highlands,2330,Number of persons in private households,Number of persons in private households,2021,2640,Métis Ward
Highlands,2330,Marital status,Married or living common-law,2021,1305,Métis Ward
Highlands,2330,Marital status,Married,2021,995,Métis Ward
Highlands,2330,Marital status,Living common-law,2021,310,Métis Ward
Highlands,2330,Marital status,Living common law - Never married,2021,230,Métis Ward
Highlands,2330,Marital status,Living common law - Separated,2021,5,Métis Ward
Highlands,2330,Marital status,Living common law - Divorced,2021,65,Métis Ward
Highlands,2330,Marital status,Living common law - Widowed,2021,0,Métis Ward
Highlands,2330,Marital status,Not married and not living common-law,2021,975,Métis Ward
Highlands,2330,Marital status,Not married and not living common law - Never married,2021,610,Métis Ward
Highlands,2330,Marital status,Not married and not living common law - Separated,2021,50,Métis Ward
Highlands,2330,Marital status,Not married and not living common law - Divorced,2021,185,Métis Ward
Highlands,2330,Marital status,Not married and not living common law - Widowed,2021,125,Métis Ward
Highlands,2330,Family size,2 persons,2021,440,Métis Ward
Highlands,2330,Family size,3 persons,2021,150,Métis Ward
Highlands,2330,Family size,4 persons,2021,115,Métis Ward
Highlands,2330,Family size,5 or more persons,2021,40,Métis Ward
Highlands,2330,Family size,Average size of census families,2021,3,Métis Ward
Highlands,2330,Family size,Average number of children in census families with children,2021,2,Métis Ward
Highlands,2330,Census families in private households,Total couple families,2021,645,Métis Ward
Highlands,2330,Census families in private households,Married couples,2021,490,Métis Ward
Highlands,2330,Census families in private households,Married couples with children,2021,230,Métis Ward
Highlands,2330,Census families in private households,Married couples without children,2021,260,Métis Ward
Highlands,2330,Census families in private households,Common-law couples,2021,150,Métis Ward
Highlands,2330,Census families in private households,Common-law couples with children,2021,35,Métis Ward
Highlands,2330,Census families in private households,Common-law couples without children,2021,115,Métis Ward
Highlands,2330,Census families in private households,Total one-parent families,2021,100,Métis Ward
Highlands,2330,Census families in private households,One-parent families in which the parent is a woman+,2021,80,Métis Ward
Highlands,2330,Census families in private households,One-parent families in which the parent is a man+,2021,25,Métis Ward
Highlands,2330,Persons in private households,Married spouses or common-law partners,2021,1290,Métis Ward
Highlands,2330,Persons in private households,Parents in one-parent families,2021,105,Métis Ward
Highlands,2330,Persons in private households,Children,2021,625,Métis Ward
Highlands,2330,Persons in private households,Children in a two-parent family,2021,480,Métis Ward
Highlands,2330,Persons in private households,Children in a one-parent family,2021,150,Métis Ward
Highlands,2330,Persons in private households,Persons not in census families,2021,615,Métis Ward
Highlands,2330,Persons in private households,Persons not in census families - Living alone,2021,405,Métis Ward
Highlands,2330,Persons in private households,Persons not in census families - Living with other relatives,2021,60,Métis Ward
Highlands,2330,Persons in private households,Persons not in census families - Living with non-relatives only,2021,150,Métis Ward
Highlands,2330,Household type,One-census-family households without additional persons,2021,680,Métis Ward
Highlands,2330,Household type,Couple-family households,2021,605,Métis Ward
Highlands,2330,Household type,Couple-family households with children,2021,260,Métis Ward
Highlands,2330,Household type,Couple-family households without children,2021,345,Métis Ward
Highlands,2330,Household type,One-parent-family households,2021,80,Métis Ward
Highlands,2330,Household type,Multigenerational households,2021,10,Métis Ward
Highlands,2330,Household type,Multiple-census-family households,2021,0,Métis Ward
Highlands,2330,Household type,One-census-family households with additional persons,2021,45,Métis Ward
Highlands,2330,Household type,Two-or-more-person non-census-family households,2021,70,Métis Ward
Highlands,2330,Household type,One-person households,2021,405,Métis Ward
Hillview,6300,Household size,1 person,2021,330,Karhiio Ward
Hillview,6300,Household size,2 persons,2021,460,Karhiio Ward
Hillview,6300,Household size,3 persons,2021,255,Karhiio Ward
Hillview,6300,Household size,4 persons,2021,165,Karhiio Ward
Hillview,6300,Household size,5 or more persons,2021,125,Karhiio Ward
Hillview,6300,Household size,Average household size,2021,3,Karhiio Ward
Hillview,6300,Number of persons in private households,Number of persons in private households,2021,3385,Karhiio Ward
Hillview,6300,Marital status,Married or living common-law,2021,1480,Karhiio Ward
Hillview,6300,Marital status,Married,2021,1285,Karhiio Ward
Hillview,6300,Marital status,Living common-law,2021,195,Karhiio Ward
Hillview,6300,Marital status,Living common law - Never married,2021,140,Karhiio Ward
Hillview,6300,Marital status,Living common law - Separated,2021,5,Karhiio Ward
Hillview,6300,Marital status,Living common law - Divorced,2021,45,Karhiio Ward
Hillview,6300,Marital status,Living common law - Widowed,2021,0,Karhiio Ward
Hillview,6300,Marital status,Not married and not living common-law,2021,1325,Karhiio Ward
Hillview,6300,Marital status,Not married and not living common law - Never married,2021,955,Karhiio Ward
Hillview,6300,Marital status,Not married and not living common law - Separated,2021,65,Karhiio Ward
Hillview,6300,Marital status,Not married and not living common law - Divorced,2021,200,Karhiio Ward
Hillview,6300,Marital status,Not married and not living common law - Widowed,2021,105,Karhiio Ward
Hillview,6300,Family size,2 persons,2021,470,Karhiio Ward
Hillview,6300,Family size,3 persons,2021,220,Karhiio Ward
Hillview,6300,Family size,4 persons,2021,145,Karhiio Ward
Hillview,6300,Family size,5 or more persons,2021,100,Karhiio Ward
Hillview,6300,Family size,Average size of census families,2021,3,Karhiio Ward
Hillview,6300,Family size,Average number of children in census families with children,2021,2,Karhiio Ward
Hillview,6300,Census families in private households,Total couple families,2021,730,Karhiio Ward
Hillview,6300,Census families in private households,Married couples,2021,630,Karhiio Ward
Hillview,6300,Census families in private households,Married couples with children,2021,340,Karhiio Ward
Hillview,6300,Census families in private households,Married couples without children,2021,290,Karhiio Ward
Hillview,6300,Census families in private households,Common-law couples,2021,95,Karhiio Ward
Hillview,6300,Census families in private households,Common-law couples with children,2021,40,Karhiio Ward
Hillview,6300,Census families in private households,Common-law couples without children,2021,60,Karhiio Ward
Hillview,6300,Census families in private households,Total one-parent families,2021,210,Karhiio Ward
Hillview,6300,Census families in private households,One-parent families in which the parent is a woman+,2021,170,Karhiio Ward
Hillview,6300,Census families in private households,One-parent families in which the parent is a man+,2021,40,Karhiio Ward
